"mu","g"
11.200000000000003,"-0.8366503833128283 + 0.i"
11.3,"-0.8381451378406738 + 0.i"
11.400000000000002,"-0.8396138991822254 + 0.i"
11.5,"-0.8410573124940394 + 0.i"
11.600000000000001,"-0.8424760534435505 + 0.i"
11.700000000000003,"-0.8438707259946552 + 0.i"
11.8,"-0.8452419664455278 + 0.i"
11.900000000000002,"-0.846590287815265 + 0.i"
12,"-0.8479163398444769 + 0.i"
12.100000000000001,"-0.8492206388028689 + 0.i"
12.200000000000003,"-0.8505036773013424 + 0.i"
12.300000000000004,"-0.8517660043919029 + 0.i"
12.399999999999999,"-0.8530081168798569 + 0.i"
12.5,"-0.854230479542249 + 0.i"
12.600000000000001,"-0.8554335429255813 + 0.i"
12.700000000000003,"-0.8566178022874685 + 0.i"
12.800000000000004,"-0.8577836744315147 + 0.i"
12.899999999999999,"-0.8589315574297671 + 0.i"
13,"-0.8600618850093568 + 0.i"
13.100000000000001,"-0.8611750501000635 + 0.i"
13.200000000000003,"-0.8622714392493505 + 0.i"
13.300000000000004,"-0.8633514238541969 + 0.i"
13.399999999999999,"-0.8644153727553279 + 0.i"
13.5,"-0.8654636522357919 + 0.i"
13.600000000000001,"-0.8664965823088584 + 0.i"
13.700000000000003,"-0.8675145000708013 + 0.i"
13.800000000000004,"-0.8685177299873634 + 0.i"
13.899999999999999,"-0.8695066029865651 + 0.i"
14,"-0.8704813802847753 + 0.i"
14.100000000000001,"-0.871442408195716 + 0.i"
14.200000000000003,"-0.8723899693333077 + 0.i"
14.300000000000004,"-0.873324286025521 + 0.i"
14.399999999999999,"-0.8742457117664498 + 0.i"
14.5,"-0.8751544586024801 + 0.i"
14.600000000000001,"-0.8760508120534376 + 0.i"
14.700000000000003,"-0.8769349995981333 + 0.i"
14.800000000000004,"-0.8778072931184349 + 0.i"
14.899999999999999,"-0.8786678771218148 + 0.i"
15,"-0.8795170926605924 + 0.i"
15.100000000000001,"-0.8803550205752996 + 0.i"
15.200000000000003,"-0.8811820078644439 + 0.i"
15.300000000000004,"-0.8819982271875466 + 0.i"
15.399999999999999,"-0.8828037936941918 + 0.i"
15.5,"-0.8835990227957703 + 0.i"
15.600000000000001,"-0.8843841051002116 + 0.i"
15.700000000000003,"-0.8851592043445133 + 0.i"
15.800000000000004,"-0.8859245075225409 + 0.i"
15.899999999999999,"-0.886680214045428 + 0.i"
16,"-0.8874264846226254 + 0.i"
16.1,"-0.8881635144637032 + 0.i"
16.200000000000003,"-0.8888914381230955 + 0.i"
16.300000000000004,"-0.8896104761688158 + 0.i"
16.4,"-0.8903207176489581 + 0.i"
16.5,"-0.891022412156657 + 0.i"
16.6,"-0.8917156165627121 + 0.i"
16.700000000000003,"-0.8924005386674871 + 0.i"
16.800000000000004,"-0.8930773786744545 + 0.i"
16.9,"-0.8937461882170293 + 0.i"
17,"-0.8944070528310194 + 0.i"
17.1,"-0.895060368730726 + 0.i"
17.200000000000003,"-0.8957059007117141 + 0.i"
17.300000000000004,"-0.8963440926844739 + 0.i"
17.4,"-0.8969748995781919 + 0.i"
17.5,"-0.8975985071473673 + 0.i"
17.6,"-0.898215063956544 + 0.i"
17.700000000000003,"-0.8988246980736059 + 0.i"
17.800000000000004,"-0.8994273479970056 + 0.i"
17.9,"-0.9000233517289732 + 0.i"
18,"-0.9006127192742527 + 0.i"
18.1,"-0.9011956051364914 + 0.i"
18.200000000000003,"-0.9017720759497472 + 0.i"
18.300000000000004,"-0.9023422348168643 + 0.i"
18.400000000000006,"-0.9029061926115571 + 0.i"
18.5,"-0.9034640793421356 + 0.i"
18.6,"-0.9040159870696048 + 0.i"
18.700000000000003,"-0.9045618602905985 + 0.i"
18.800000000000004,"-0.905102017171551 + 0.i"
18.900000000000006,"-0.9056365188732213 + 0.i"
19,"-0.9061652551621995 + 0.i"
19.1,"-0.9066885328965626 + 0.i"
19.200000000000003,"-0.9072063339682815 + 0.i"
19.300000000000004,"-0.907718731291149 + 0.i"
19.400000000000006,"-0.9082258993410931 + 0.i"
19.5,"-0.9087278373637054 + 0.i"
19.6,"-0.909224639973315 + 0.i"
19.700000000000003,"-0.9097164144676437 + 0.i"
19.800000000000004,"-0.9102033662662641 + 0.i"
19.900000000000006,"-0.9106850788102313 + 0.i"
20,"-0.9111621436810657 + 0.i"
